"RefA","RefALink","RefB","RefBLink","Snippet","MatchType","k_n_ref","DeterministicScore","RefBExact","RefBExactLink","RefBExcerpt","LLMStatus","LLMParagraph","LLMConfidence","LLMExcerpt"
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Procreation.4.1.3","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Procreation.4.1.3","Likutei Moharan.22","https://www.sefaria.org.il/Likutei_Moharan.22","עזי פנים ביותר ובעלי ריב ומצה צריכין להתרחק מהם שלא לשא מהם וזה מבאר על פי התורה חותם בתוך חותם בסימן כב מבאר שם שעקר התרחקות מהקדשה הוא על ידי העזי פנים שבדור שהם מתגברין ביותר להרחיק מצדיקי אמת שהם בחינת השבעה","k_of_n","8/40 words match (window=""עזי פנים ביותר ובעלי ריב ומצה צריכין להתרחק מהם שלא לשא מהם וזה מבאר על פי התורה חותם בתוך חותם מבאר שם שעקר התרחקות מהקדשה הוא על ידי העזי פנים שבדור שהם מתגברין ביותר להרחיק מצדיקי אמת שהם בחינת השבעה"")","8/40","Likutei Moharan.22.1.4","https://www.sefaria.org.il/Likutei_Moharan.22.1.4","חותם הוא, כי יש מוכיחי הדור, והם בחינות רגלין, ונקראים רגלין, על שם שהם למודי ה', הינו שלומדין כביכול את ה', שנותנין לו עצות, והם הולכים בשליחותו לישראל, להוכיחם ולהחזירם להשם יתברך. ועל שם זה נקראים בחינות רגלין, על שם העצה, כמו שפרש רש""י (שמות יא) על ""וכל העם אשר ברגליך"": ההולכים אחר עצתך, ועל שם ההליכה, שהולכים בשליחותו להוכיח כנ""ל:","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Procreation.5.1.2","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Procreation.5.1.2","Likutei Moharan%2C_Part_II.8","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.8","על פי התורה תקעו תוכחה בלקוטי תנינא סימן ח עין שם וכבר מבאר בהלכות אשות הלכה ב על פי התורה הנ ל עין שם ועוד לאלקי מלין על פי מה שכתוב שם בהתורה הנ ל באות ו על פסוק ובל יאמר שכן חליתי וכו","k_of_n","6/40 words match (window=""על פי התורה תקעו תוכחה עין שם וכבר מבאר בהלכות אשות הלכה ב על פי התורה הנ ל עין שם ועוד לאלקי מלין על פי מה שכתוב שם בהתורה הנ ל באות ו על פסוק ובל יאמר שכן חליתי וכו"")","6/40","Likutei Moharan%2C_Part_II.8.1.5","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.8.1.5","כי עקר יניקת הנשמה הוא מהריח. כמו שאמרו רבותינו זכרונם לברכה (ברכות מג:): מנין שמברכין על הריח, שנאמר: כל הנשמה תהלל יה. איזהו דבר שהנשמה נהנית ממנו ולא הגוף, הוי אומר: זה הריח. ועלכן עלידי זה המוכיח, שהוא מבאיש ריחם, עלידיזה נחלשת הנשמה, שיניקתה מהריח כנ""ל, וממילא נפסק השפע מכל העולמות התלויים בהם.","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Procreation.5.5.1","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Procreation.5.5.1","Likutei Moharan.5","https://www.sefaria.org.il/Likutei_Moharan.5","הברית פגם טפי המח כמו שכתוב על פסוק אזן שומעת תוכחת חיים בקרב חכמים תלין וכו כמו שכתוב בהתורה בחצצרות סימן ה וכן להפך על ידי המחלקת על הצדיק מתגבר מעשה זמרי רחמנא לצלן כי אין מי שיצילם משטותם וכסילותם הרבים כידוע","k_of_n","6/40 words match (window=""הברית פגם טפי המח כמו שכתוב על פסוק אזן שומעת תוכחת חיים בקרב חכמים תלין וכו כמו שכתוב בהתורה בחצצרות וכן להפך על ידי המחלקת על הצדיק מתגבר מעשה זמרי רחמנא לצלן כי אין מי שיצילם משטותם וכסילותם הרבים כידוע"")","6/40","Likutei Moharan.5.2.14","https://www.sefaria.org.il/Likutei_Moharan.5.2.14","וזה שנכנס בתוך השמחה יכול בודאי לידע לפי ענין השמחה, אם הוא קדם גזר דין, אם הוא לאחר גזר דין. גם יכול לידע על איזהו חלק מהקומה נגזר הדין, כי יודע לפי קומת המצוות: אם אין יכול לעשות בשמחה ראשי המצוות, הינו מצוות התלויים בראש, ידע שהדין נגזר על ראשי עולם שנה נפש, וכן בשאר קומת המצוות.","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Procreation.5.8.1","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Procreation.5.8.1","Likutei Moharan.17","https://www.sefaria.org.il/Likutei_Moharan.17","גם הגרים שזהו בחינת ודם חללים ישתה ונכסי עממיא יירת שהם בחינת גרים כמו שמובא בהתורה ויהי הם מריקים שקיהם סימן יז שעל ידי זה הוא מוסיף שכנים רבים וכו שעל ידי זה תתקרב הגאלה וכו שתבוא על ידי זרע יהודה וכנ","k_of_n","6/40 words match (window=""גם הגרים שזהו בחינת ודם חללים ישתה ונכסי עממיא יירת שהם בחינת גרים כמו שמובא בהתורה ויהי הם מריקים שקיהם שעל ידי זה הוא מוסיף שכנים רבים וכו שעל ידי זה תתקרב הגאלה וכו שתבוא על ידי זרע יהודה וכנ"")","6/40","Likutei Moharan.17.1.18","https://www.sefaria.org.il/Likutei_Moharan.17.1.18","כי עלידי התגלות ההתפארות נתגלה היראה. וכמו שעלידי התגלות ההתפארות של ישראל, שהם מתפארים עמו יתברך, עלידיזה נופל יראה, כי ההתפארות של ישראל הוא בחינת תפלין, שנקראים פאר (ברכות יא), ועלידם נתגלה יראה, כמו שאמרו חכמינו זכרונם לברכה (ברכות ו): מנין שהתפלין הם עז לישראל, שנאמר: וראו כל עמי הארץ כי שם ה' נקרא עליך ויראו ממך. נמצא, שעלידי התגלות ההתפארות שמתפארין ישראל עמו יתברך, עלידיזה נופל יראה,","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Procreation.5.18.1","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Procreation.5.18.1","Likutei Moharan.69","https://www.sefaria.org.il/Likutei_Moharan.69","שמובא והטפה בעצמה שהוא בשביל הולדת הנפשות הוא בחינת שפע העשירות כי כל הנפשות שרשם בעשירות כמובא בדבריו זכרונו לברכה סימן סט ועל כן כל קנינה על ידי כסף בחינת עשירות כנ ל וזהו בחינת הכתבה שצריך לתן לה שלא יהיה בעילתו","k_of_n","7/40 words match (window=""שמובא והטפה בעצמה שהוא בשביל הולדת הנפשות הוא בחינת שפע העשירות כי כל הנפשות שרשם בעשירות כמובא בדבריו זכרונו לברכה ועל כן כל קנינה על ידי כסף בחינת עשירות כנ ל וזהו בחינת הכתבה שצריך לתן לה שלא יהיה בעילתו"")","7/40","Likutei Moharan.69.1.1","https://www.sefaria.org.il/Likutei_Moharan.69.1.1","דע, שהגוזל את חברו ממון, בזה הוא גוזל ממנו בנים, הינו שהגזלן נוטל מהנגזל בנים. כי עקר הממון של האדם בא לו על ידי בת זוגו, כי עלידי אור נפשה, מזה בא לו הממון. הינו, עלידי שמתנוצץ ומתפשט אורות מאור נפשה, אלו האורות הם בחינת הממון. כי הממון הוא ממקום הנפש, כמבאר במקום אחר,","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Matrimony.1.1.2","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Matrimony.1.1.2","Likutei Moharan%2C_Part_II.8","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.8","כי איתא בהתורה תקעו ג המדבר מתוכחה בלקוטי תנינא סימן ח כי עקר התפלה היא רחמים ותחנונים ועקר הרחמים תלוי בדעת וכו ולפעמים כשהם יונקים מן הרחמנות אזי נפגם הרחמנות ונעשה אכזריות ואזי נפגם הדעת וכו עין שם ומזה בא חס ושלום תאות נאוף","k_of_n","6/40 words match (window=""כי איתא בהתורה תקעו ג המדבר מתוכחה כי עקר התפלה היא רחמים ותחנונים ועקר הרחמים תלוי בדעת וכו ולפעמים כשהם יונקים מן הרחמנות אזי נפגם הרחמנות ונעשה אכזריות ואזי נפגם הדעת וכו עין שם ומזה בא חס ושלום תאות נאוף"")","6/40","Likutei Moharan%2C_Part_II.8.1.9","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.8.1.9","והתקון לזה הוא עלידי בחינת קול, כי בחינת קול הוא משקה את הגן, ששם גדלים כל הריחות והיראות, בבחינת (בראשית ב׳:י׳): ונהר יצא מעדן להשקות את הגן. נהר היוצא מעדן וכו' – זה בחינת קול, בבחינת (תהילים צ״ג:ג׳): נשאו נהרות קולם; וזה בחינת (בראשית ג׳:י׳): את קלך שמעתי בגן ואירא. כי זה הקול משקה את הגן, שעלידיזה גדלים שם כל הריחות, שהם בחינת יראה כנ""ל, שזהו בחינת מזונא דנשמתא כנ""ל.","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Matrimony.1.5.1","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Matrimony.1.5.1","Likutei Moharan.38","https://www.sefaria.org.il/Likutei_Moharan.38","כי הבהמה שאין לה דעת אין לה בשת וכן מובן בדברי רבנו זכרונו לברכה במקום אחר במאמר מרכבת פרעה וחילו סימן לח שהבושה תלוי בדעת גם הבושה הוא בחינת רחמים הפך העזות שהוא בחינת גבורות ודינים נמצא שכל השלש מדות הנ ל","k_of_n","6/40 words match (window=""כי הבהמה שאין לה דעת אין לה בשת וכן מובן בדברי רבנו זכרונו לברכה במקום אחר במאמר מרכבת פרעה וחילו שהבושה תלוי בדעת גם הבושה הוא בחינת רחמים הפך העזות שהוא בחינת גבורות ודינים נמצא שכל השלש מדות הנ ל"")","6/40","Likutei Moharan.38.1.1","https://www.sefaria.org.il/Likutei_Moharan.38.1.1","לשון רבנו זכרונו לברכה מרכבת פרעה וחילו ירה בים וכו': (שמות ט״ו:ד׳)","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Matrimony.3.1.2","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Matrimony.3.1.2","Likutei Moharan.24","https://www.sefaria.org.il/Likutei_Moharan.24","על פי התורה אמצעיתא דעלמא בסימן כד עין שם והכלל שעל ידי עשית המצוה בשמחה מעלין הקדשה מהקלפות בבחינת קטרת ועל ידי זה זוכין לעלות מעלה מעלה עד שממשיכין ברכות השכל ומתקנין המסדר והמישב של השכל שהוא בחינת כתר וכו ועל ידי","k_of_n","8/40 words match (window=""על פי התורה אמצעיתא דעלמא עין שם והכלל שעל ידי עשית המצוה בשמחה מעלין הקדשה מהקלפות בבחינת קטרת ועל ידי זה זוכין לעלות מעלה מעלה עד שממשיכין ברכות השכל ומתקנין המסדר והמישב של השכל שהוא בחינת כתר וכו ועל ידי"")","8/40","Likutei Moharan.24.1.3","https://www.sefaria.org.il/Likutei_Moharan.24.1.3","ואףעלפי שאין השכל משיג אותו, אףעלפיכן רדיפה דמחשבה למרדף אבתרה, ועל ידי הרדיפה, אז השכל משיג אותו בבחינת מטי ולא מטי, כי באמת אי אפשר להשיג אותו, כי הוא למעלה מנפש רוח נשמה:","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Matrimony.3.10.1","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Matrimony.3.10.1","Likutei Moharan.65","https://www.sefaria.org.il/Likutei_Moharan.65","ממשיך משם בחזרה רשימו טובה וחזקה שיוכל על ידה לעמד כנגדם וכמובן מזה בהתורה ויאמר בעז אל רות עין שם סימן סה כי בחינה הנ ל מענין השגת התשעה היכלין וכו אף על פי שהיא מדרגה גבה מאד מאד שאין זוכין אליו","k_of_n","6/40 words match (window=""ממשיך משם בחזרה רשימו טובה וחזקה שיוכל על ידה לעמד כנגדם וכמובן מזה בהתורה ויאמר בעז אל רות עין שם כי בחינה הנ ל מענין השגת התשעה היכלין וכו אף על פי שהיא מדרגה גבה מאד מאד שאין זוכין אליו"")","6/40","Likutei Moharan.65.1.1","https://www.sefaria.org.il/Likutei_Moharan.65.1.1","ויאמר בעז אל רות, הלא שמעת בתי, אל תלכי ללקט בשדה אחר, וגם לא תעבורי מזה וכו'. עיניך בשדה אשר יקצרון, והלכת אחריהן, הלוא צויתי את הנערים לבלתי נגעך. וצמת, והלכת אל הכלים, ושתית מאשר ישאבון הנערים: (רות ב׳:ט׳)","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Matrimony.3.10.1","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Matrimony.3.10.1","Likutei Moharan.4","https://www.sefaria.org.il/Likutei_Moharan.4","גם אצלם נמצא לפעמים שמגיע אליהם איזה הארה והתנוצצות אלקות הנמשך משם מבחינת התשעה היכלין הנ ל וכמובן בהתורה אנכי בסימן ד בלקוטי חלק א וכו שגם לאנשים פשוטים נפתח להם אור לפעמים בתפלתם אור האין סוף עין שם אך לכל אחד","k_of_n","6/40 words match (window=""גם אצלם נמצא לפעמים שמגיע אליהם איזה הארה והתנוצצות אלקות הנמשך משם מבחינת התשעה היכלין הנ ל וכמובן בהתורה אנכי בלקוטי חלק א וכו שגם לאנשים פשוטים נפתח להם אור לפעמים בתפלתם אור האין סוף עין שם אך לכל אחד"")","6/40","Likutei Moharan.4.10.20","https://www.sefaria.org.il/Likutei_Moharan.4.10.20","נמצא, כשהצדיק עושה עצמו מה, מדבק את עצמו לעינא חד דרחמי, הינו לאין סוף; ואחר כך כשחוזר, בבחינת רצוא ושוב, אז ממשיך מאור אין סוף האחדות הרצון הפשוט שם דרך ה""מה"" שלו, ונעשה ממה מאה, כמו שאמרו: אל תקרי מה, אלא מאה, ונעשה תלת מאה מתלת מה, וממשיך אור הזה לדעתו ולשכלו, הינו גרבי דמשחא, שהוא בחינת שכל כנ""ל.","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Matrimony.3.10.1","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Matrimony.3.10.1","Likutei Moharan.222","https://www.sefaria.org.il/Likutei_Moharan.222","על ידי זה לעמד נגד המתגרים בו אם ישמר את הזכרון היטב לזכר בו יתברך בכל פעם אחרי אשר כבר חמל עליו השם יתברך והאיר לו איזה התנוצצות וכמבאר בדבריו זכרונו לברכה שמי שרק מתנוצץ לו השם יתברך עין שם בסימן רכב בלקוטי א","k_of_n","7/40 words match (window=""על ידי זה לעמד נגד המתגרים בו אם ישמר את הזכרון היטב לזכר בו יתברך בכל פעם אחרי אשר כבר חמל עליו השם יתברך והאיר לו איזה התנוצצות וכמבאר בדבריו זכרונו לברכה שמי שרק מתנוצץ לו השם יתברך בלקוטי א"")","7/40","Likutei Moharan.222.1.3","https://www.sefaria.org.il/Likutei_Moharan.222.1.3","מכלשכן שראוי לילך אחר עצמו, דהינו מאחר שבימים הקודמים הזריח לו קצת והיה מתחזק ומתעורר לבו להשם יתברך, אף שעכשו נפל מזה ונסתמו עיניו ולבו, עם כל זה ראוי שיאחז בימים הקודמים וילך אחריהם, דהינו כמו שאז היה מתעורר לבו להתחזק בעבודתו יתברך, כן גם עכשו יחזק לבו מאד, וילך אחר ההתעוררות והזריחה שהיה לו אז, אף שעכשו נפל מזה כנ""ל, עד אשר בקצת ימים יעזרו ה', ויחזר ויזרח לו אורו יתברך, אמן: (עין בסוף הספר מה ששיך לזה)","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Matrimony.3.19.2","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Matrimony.3.19.2","Likutei Moharan%2C_Part_II.51","https://www.sefaria.org.il/Likutei_Moharan,_Part_II.51","מחמת שלא ידעו שכבר הם אצל הפתח או שמשתטחין כנגדו מאד מאד עד שקשה לו לשברם כמבאר מזה בדבריו הקדושים בלקוטי תנינא בסימן נא אבל הוא ישב ונתעכב פתח האהל כחם היום זה בחינת התגברות חמימות היצר הרע שעל זה נאמר איכה תרעה איכה","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Matrimony.3.19.3","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Matrimony.3.19.3","Likutei Moharan.155","https://www.sefaria.org.il/Likutei_Moharan.155","כנ ל וזה וירא וירץ לקראתם וירץ זה בחינת זריזות ושמחה כי זריזות הוא בחינת שמחה כמובן בהתורה אריכת אפים בסימן קנה בלקוטי א וכמו שאמרו רבותינו זכרונם לברכה מצוה לרוץ לבית הכנסת ולדבר מצוה כמו שנאמר שמחתי באמרים לי בית ה","k_of_n","10/40 words match (window=""כנ ל וזה וירא וירץ לקראתם וירץ זה בחינת זריזות ושמחה כי זריזות הוא בחינת שמחה כמובן בהתורה אריכת אפים בלקוטי א וכמו שאמרו רבותינו זכרונם לברכה מצוה לרוץ לבית הכנסת ולדבר מצוה כמו שנאמר שמחתי באמרים לי בית ה"")","10/40","Likutei Moharan.155.1.5","https://www.sefaria.org.il/Likutei_Moharan.155.1.5","ואמונה היא בחינת כח הגודל וכח הצומח, כמו שכתוב (אסתר ב׳:ז׳): ויהי אומן את הדסה – לשון גדול, וכמו שאמרו רבותינו זכרונם לברכה (שבת לא): אמונה – זה סדר זרעים. ועל כן כשיש לו אמונה, שהיא בחינת כח הגודל וכח הצומח, אזי אין מזיק לו שום דבר, ואינו ירא משום אדם ושום דבר, ומתפלל בחיות כראוי, ונוסע להצדיק, כי אינו מתירא ומתפחד משום ענין שבעולם.","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Sanctification.1.1.1","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Sanctification.1.1.1","Likutei Moharan.67","https://www.sefaria.org.il/Likutei_Moharan.67","קדושי כסף והשעור פרוטה על פי התורה ויבן ה אלקים את הצלע וכו סימן סז עין שם היטב","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Sanctification.1.1.4","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Sanctification.1.1.4","Likutei Moharan.62","https://www.sefaria.org.il/Likutei_Moharan.62","בגמרא כי עקר שלמות הכבוד והמלכות בבחינת פנים הוא על ידי אכילה כתקונה דיקא כנ ל וכמובא במאמר ויסב אלקים סימן סב שעל ידי האכילה נעשה יחוד בבחינת אפין באפין בבחינת ויאמר בעז אל רות לעת האכל דיקא גשי הלם עין שם","k_of_n","18/40 words match (window=""בגמרא כי עקר שלמות הכבוד והמלכות בבחינת פנים הוא על ידי אכילה כתקונה דיקא כנ ל וכמובא במאמר ויסב אלקים שעל ידי האכילה נעשה יחוד בבחינת אפין באפין בבחינת ויאמר בעז אל רות לעת האכל דיקא גשי הלם עין שם"")","18/40","Likutei Moharan.62.1.2","https://www.sefaria.org.il/Likutei_Moharan.62.1.2","א דע, שעלידי אכילתם של ישראל נעשה יחוד קדשא בריך הוא ושכינתה אפין באפין, בבחינת (רות ב): ויאמר בעז לרות לעת האכל גשי הלם. לעת האכל דיקא, הינו עלידי האכילה; גשי הלם – דא יחוד קדשא בריך הוא ושכינתה, בחינת (בראשית מד): ויגש אליו יהודא – דא תקרבתא מלכא במלכא (זוהר ויגש דף רו, וע""ש בפירוש הרמ""ז),","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Sanctification.1.1.5","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Sanctification.1.1.5","Likutei Moharan.69","https://www.sefaria.org.il/Likutei_Moharan.69","אכילה כמובא בזהר הקדוש שמצות ברכת המזון דיקא אחר אכילה וזה בחינת קדושין לשון הזמנה כמובא בדברי רבנו נרו יאיר סימן סט הינו בחינת כוס של ברכה צריך זמון שצריך להזמינו בפה מלא כמובא בכונות הטעם שכל דבר שבקדשה שיש בו אחיזה","k_of_n","6/40 words match (window=""אכילה כמובא בזהר הקדוש שמצות ברכת המזון דיקא אחר אכילה וזה בחינת קדושין לשון הזמנה כמובא בדברי רבנו נרו יאיר הינו בחינת כוס של ברכה צריך זמון שצריך להזמינו בפה מלא כמובא בכונות הטעם שכל דבר שבקדשה שיש בו אחיזה"")","6/40","Likutei Moharan.69.4.3","https://www.sefaria.org.il/Likutei_Moharan.69.4.3","ובכל המשאומתן שהוא נושא ונותן ומרויח, הוא משלים אורה בזה, ומקבץ נדחיה. כי הוא צריך להשלים אורה תמיד, כי הוא בחינת הנקת האילן והענפים והפרות, שעל ידי שהוא מיניקם ומשלימם, עלידיזה האילן מגדל ענפים, הינו שמתנוצץ אורה, והענפים עושים פרות כנ""ל. וזה שנותן לה כתבה תכף אחר הקדושין, ומבטיח לה בכתבה: ואנא אפלח ואוקיר ואוזין ואפרנס יתך – שמבטיח לה להשלים אורה תמיד, עלידי הממון כנ""ל:","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Sanctification.1.1.10","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Sanctification.1.1.10","Likutei Moharan.39","https://www.sefaria.org.il/Likutei_Moharan.39","לשבת כי בשבת עקר השביעה והאכילה שבקדשה ועל כן אז זמן הזווג כנ ל וכן מובן בדברי רבנו נרו יאיר סימן לט על פסוק ונתתי עשב וכו ואכלת ושבעת שמובן משם כנ ל שזווגן של תלמידי חכמים בשבת מחמת שאז השביעה שבקדשה","k_of_n","6/40 words match (window=""לשבת כי בשבת עקר השביעה והאכילה שבקדשה ועל כן אז זמן הזווג כנ ל וכן מובן בדברי רבנו נרו יאיר על פסוק ונתתי עשב וכו ואכלת ושבעת שמובן משם כנ ל שזווגן של תלמידי חכמים בשבת מחמת שאז השביעה שבקדשה"")","6/40","Likutei Moharan.39.1.12","https://www.sefaria.org.il/Likutei_Moharan.39.1.12","ואכלת ושבעת – זה רמז על שבת, שאז השביעה, שממנו נתברכין ששת ימים:","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Sanctification.1.1.12","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Sanctification.1.1.12","Likutei Moharan.29","https://www.sefaria.org.il/Likutei_Moharan.29","כי זה תלוי בזה כי זווג דקדשה תלוי בשלמות הכבוד שהוא בחינת שאר וכסות כי מזונות הם בחינת שלמות הכבוד על ידי אכילה כנ ל וכן כסות הם גם כן בחינת כבוד בחינת בגדי כבוד וכמובא בדברי רבנו זכרונו לברכה סימן כט","k_of_n","7/40 words match (window=""כי זה תלוי בזה כי זווג דקדשה תלוי בשלמות הכבוד שהוא בחינת שאר וכסות כי מזונות הם בחינת שלמות הכבוד על ידי אכילה כנ ל וכן כסות הם גם כן בחינת כבוד בחינת בגדי כבוד וכמובא בדברי רבנו זכרונו לברכה"")","7/40","Likutei Moharan.29.1.3","https://www.sefaria.org.il/Likutei_Moharan.29.1.3","א כי לא כל דבור נקרא דבור, כי דבור שאינו נשמע ונתקבל אינו נקרא דבור, בחינת (תהילים י״ט:ד׳): אין אמר ואין דברים בלי נשמע קולם.","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Sanctification.2.1.2","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Sanctification.2.1.2","Likutei Moharan.60","https://www.sefaria.org.il/Likutei_Moharan.60","על פי התורה המתחלת פתח רבי שמעון ואמר עת לעשות לה הפרו תורתך סימן ס כי יש התבוננות שאי אפשר לזכות אליו כי אם על ידי עשירות מפלג מאד מאד וכו עין שם וזה בחינת פסלת של לוחות שמשם נתעשר משה עין","k_of_n","9/40 words match (window=""על פי התורה המתחלת פתח רבי שמעון ואמר עת לעשות לה הפרו תורתך כי יש התבוננות שאי אפשר לזכות אליו כי אם על ידי עשירות מפלג מאד מאד וכו עין שם וזה בחינת פסלת של לוחות שמשם נתעשר משה עין"")","9/40","Likutei Moharan.60.1.2","https://www.sefaria.org.il/Likutei_Moharan.60.1.2","פתח רבי שמעון ואמר: עת לעשות לה'. אמאי עת לעשות לה', משום דהפרו תורתך. מאי הפרו תורתך, תורה דלעלא, דאיהי מתבטלא אי לא יתעבד בתקוני דא. ולעתיק יומין אתמר.","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Sanctification.2.5.1","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Sanctification.2.5.1","Likutei Moharan.49","https://www.sefaria.org.il/Likutei_Moharan.49","ה אלקיך אש אכלה הוא ואתם הדבקים בה אלקיכם חיים כלכם היום ואיתא בזהר הקדוש ומובא בדברי רבנו זכרונו לברכה סימן מט שזהו שבח מעלת ישראל כי האש אכלה כלא ושצי כלא אבל ישראל עם קדוש דבקים בה בבחינת אש אכלה ואדרבא","k_of_n","18/40 words match (window=""ה אלקיך אש אכלה הוא ואתם הדבקים בה אלקיכם חיים כלכם היום ואיתא בזהר הקדוש ומובא בדברי רבנו זכרונו לברכה שזהו שבח מעלת ישראל כי האש אכלה כלא ושצי כלא אבל ישראל עם קדוש דבקים בה בבחינת אש אכלה ואדרבא"")","18/40","Likutei Moharan.49.7.2","https://www.sefaria.org.il/Likutei_Moharan.49.7.2","אבל ישראל הדבוקים בה יקבלו חיותם, כמו שכתוב בזהר (בראשית דף נא.): ואתם הדבקים בה' אלקיכם, שהוא בחינת תכלת, דאכלי כלא ושצי כלא, אףעלפיכן: חיים כלכם היום. כי עקר החיות בא משם, בבחינת: דוד מלך ישראל חי וקים ר""ה כה.).","not_needed","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Sanctification.3.1.1","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Sanctification.3.1.1","Likutei Moharan.13","https://www.sefaria.org.il/Likutei_Moharan.13","על פי התורה אשרי העם השגחה בלקוטי הראשון סימן יג וכו עין שם","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Even HaEzer%2C_Laws of Sanctification.3.2.1","https://www.sefaria.org.il/Likutei_Halakhot,_Even_HaEzer,_Laws_of_Sanctification.3.2.1","Likutei Moharan.23","https://www.sefaria.org.il/Likutei_Moharan.23","תלוי בחברו כמובא בדברי רבנו זכרונו לברכה שעקר תאות ממון נמשך מתאות נאוף כמו שמובא בהתורה צוית צדק עדתיך וכו סימן כג וכן להפך כשאנו אומרים שעל ידי צדקה מתקנין ומשברין תאות ממון ומשככין חמימות הלב הבוער לממון ועשירות נכלל בזה ממילא","k_of_n","6/40 words match (window=""תלוי בחברו כמובא בדברי רבנו זכרונו לברכה שעקר תאות ממון נמשך מתאות נאוף כמו שמובא בהתורה צוית צדק עדתיך וכו וכן להפך כשאנו אומרים שעל ידי צדקה מתקנין ומשברין תאות ממון ומשככין חמימות הלב הבוער לממון ועשירות נכלל בזה ממילא"")","6/40","Likutei Moharan.23.1.16","https://www.sefaria.org.il/Likutei_Moharan.23.1.16","וזה: מטבע תקן – שתקן תאות ממון. וכשתקן תאות ממון, נתתקן פגם עבודת אלילים. וזה: מרחצאות תקן להם, כמו שכתוב: ותרד בת פרעה לרחץ, ודרשו חכמינו זכרונם לברכה (מגילה יג וסוטה יב:): לרחץ מגלולי בית אביה.","not_needed","","",""
